Start Time,Fuel Consumption Rate,Engine Load,Vehicle Speed,MAF,Throttle Position,Coolant Temp,Barometric Pressure,Short Term Fuel Trim,Long Term Fuel Trim,End Time
1723959586,11.81,51.63,76,46.23,83.97,85,957.58,8.9,-0.68,1723959587
1723959586,14.75,18.1,64,490.28,70.55,81,961.3,6.68,10.47,1723959587
1723959586,10.36,77.74,97,443.49,59.21,88,1040.02,9.12,1.36,1723959587
1723959586,17.68,85.56,61,413.84,80.9,110,950.02,3.99,7.12,1723959587
1723959586,7.11,3.56,74,430.55,22.2,106,1033.64,-0.08,-9.01,1723959587
1723959586,16.06,51.18,87,176.24,21.96,98,999.8,7.3,-14.16,1723959587
1723959586,16.34,17.08,31,47.19,58.67,76,963.98,-8.26,5.77,1723959587
1723959586,10.19,36.95,76,410.06,15.07,93,1043.62,-0.87,2.79,1723959587
1723959586,6.82,28.22,3,179.95,27.29,98,957.17,5.2,-9.74,1723959587
1723959586,5.42,18.71,59,24.86,74.79,84,1018.68,8.78,9.56,1723959587
1723959586,3.43,67.86,108,427.59,9.27,101,979.68,-3.46,-15.03,1723959587
1723959586,19.2,90.7,58,40.76,86.81,101,964.14,-3.73,-0.85,1723959587
1723959586,0.49,27.01,6,248.24,19.96,95,1048.29,5.8,8.95,1723959587
1723959586,12.14,66.7,105,483.8,51.72,107,1032.27,5.31,-1.41,1723959587
1723959586,5.63,41.98,57,350.52,55.76,79,1045.7,8.89,10.49,1723959587
1723959586,15.85,46.83,118,350.93,65.0,78,1026.77,-0.74,18.92,1723959587
1723959586,10.3,14.26,56,380.58,91.73,95,951.84,7.21,16.72,1723959587
1723959586,6.97,20.3,83,440.16,76.7,75,1040.53,-3.09,-5.3,1723959587
1723959586,8.0,55.24,39,182.85,59.76,71,985.59,3.28,-3.76,1723959587
1723959586,9.66,38.93,80,276.85,51.29,91,960.32,-5.48,5.96,1723959587
1723959586,18.29,34.37,64,432.05,83.46,106,1020.86,-4.28,18.48,1723959587
1723959586,7.87,56.65,14,245.01,42.91,88,973.78,0.39,1.34,1723959587
1723959586,5.29,10.86,105,378.28,22.99,76,1028.61,-6.65,14.81,1723959587
1723959586,0.87,93.19,32,487.98,91.29,73,955.45,-3.44,-4.7,1723959587
1723959586,7.74,63.52,53,168.06,45.92,84,996.48,2.45,-2.45,1723959587
1723959586,17.15,5.72,58,280.31,80.43,77,988.57,1.66,-4.93,1723959587
1723959586,15.93,75.98,70,55.53,70.15,73,988.26,-5.47,-7.02,1723959587
1723959586,1.03,27.25,118,476.9,90.29,86,997.81,-6.2,-0.21,1723959587
1723959586,19.29,83.03,88,285.96,11.47,91,1023.42,-5.23,12.51,1723959587
1723959586,6.49,37.47,75,24.1,64.15,86,965.83,-7.86,13.78,1723959587
1723959586,6.99,19.44,19,135.15,80.95,108,996.3,2.17,3.68,1723959587
1723959586,14.23,44.82,37,126.42,64.44,75,1014.38,4.9,-17.39,1723959587
1723959586,0.58,45.49,32,289.25,49.33,76,1043.72,3.19,-14.36,1723959587
1723959586,14.27,90.39,22,423.97,18.8,106,951.21,4.01,-18.49,1723959587
1723959586,19.31,22.26,67,210.19,79.25,81,967.89,5.35,-18.4,1723959587
1723959586,16.5,49.96,115,165.15,21.29,100,994.86,3.06,-12.8,1723959587
1723959586,12.24,15.94,31,431.48,18.45,108,1011.42,3.56,0.48,1723959587
1723959586,5.14,53.18,109,278.34,45.54,85,1030.88,-2.62,7.85,1723959587
1723959586,12.98,46.82,88,380.66,49.66,97,986.4,1.67,-5.25,1723959587
1723959586,8.77,93.46,44,163.35,58.99,71,957.69,4.14,-3.95,1723959587
1723959586,8.23,52.27,65,124.46,21.73,101,998.84,-3.41,2.64,1723959587
1723959586,3.01,95.31,17,413.15,88.6,95,984.98,5.97,12.61,1723959587
1723959586,16.24,24.59,58,46.67,16.33,81,1038.53,-7.43,19.31,1723959587
1723959586,19.73,9.21,58,395.27,30.87,100,1013.07,-2.66,-13.81,1723959587
1723959586,16.19,69.75,90,187.22,12.92,71,971.12,-9.23,15.11,1723959587
1723959586,4.16,63.42,46,336.15,45.07,97,997.46,5.32,10.12,1723959587
1723959586,16.75,58.33,16,189.41,98.07,96,1043.35,2.12,-18.76,1723959587
1723959586,16.84,99.05,53,400.3,83.84,89,1031.61,5.67,-6.96,1723959587
1723959586,19.13,39.7,62,220.83,36.83,70,993.49,-2.0,-14.81,1723959587
1723959586,12.26,39.04,12,74.31,92.15,85,956.41,9.76,-19.93,1723959587
1723959586,5.64,42.21,26,320.31,38.24,85,1036.43,2.79,13.64,1723959587
1723959586,13.08,87.44,79,203.41,50.54,109,977.73,-4.49,-7.14,1723959587
1723959586,5.53,98.58,67,497.91,29.43,73,980.96,-4.51,11.67,1723959587
1723959586,13.04,63.83,66,333.49,62.8,88,1009.03,-6.25,13.27,1723959587
1723959586,7.69,90.68,58,291.79,69.61,74,1001.52,7.02,-13.24,1723959587
1723959586,10.25,4.48,17,51.54,78.73,89,959.04,8.11,-1.61,1723959587
1723959586,15.54,50.82,38,184.09,83.12,106,1030.95,3.52,-5.24,1723959587
1723959586,14.35,95.92,85,410.73,7.16,80,994.04,5.0,-4.83,1723959587
1723959586,1.06,26.27,45,499.14,64.08,98,977.62,7.63,1.52,1723959587
1723959586,7.2,13.1,113,167.92,88.19,75,956.65,6.19,13.41,1723959587
1723959586,18.84,3.12,7,495.41,33.11,106,1035.19,3.67,-1.47,1723959587
1723959586,8.67,2.15,80,493.63,78.61,88,956.57,7.02,-11.44,1723959587
1723959586,0.21,10.96,110,459.94,0.02,101,1028.92,4.28,13.07,1723959587
1723959586,10.18,7.95,37,375.93,22.78,85,957.7,-1.39,-10.15,1723959587
1723959586,4.41,5.7,19,389.55,72.62,70,1028.7,4.23,-5.57,1723959587
1723959586,18.69,56.62,68,452.11,69.09,73,1029.31,1.02,14.49,1723959587
1723959586,2.46,48.47,110,171.29,18.17,74,978.97,8.38,10.18,1723959587
1723959586,6.94,27.05,95,12.14,95.8,92,1000.19,8.3,-8.98,1723959587
1723959586,18.23,75.82,69,92.01,92.82,96,1034.56,0.67,-2.0,1723959587
1723959586,0.6,29.47,95,471.77,9.76,106,964.75,-9.0,-13.3,1723959587
1723959586,2.8,3.73,74,280.0,19.84,82,956.9,-9.53,-1.42,1723959587
1723959586,4.94,55.84,117,22.71,4.25,91,996.11,5.49,15.37,1723959587
1723959586,18.7,96.35,31,315.15,24.17,95,997.82,-0.53,-7.46,1723959587
1723959586,14.97,50.12,84,321.48,29.06,85,1011.81,2.24,-6.94,1723959587
1723959586,17.53,7.42,91,322.27,9.93,106,999.91,-5.16,-10.67,1723959587
1723959586,1.26,27.49,0,313.81,9.91,79,991.01,9.16,-18.89,1723959587
1723959586,16.43,86.1,104,326.43,92.02,82,1004.7,-6.94,4.24,1723959587
1723959586,6.34,99.29,32,263.45,33.54,94,968.47,-2.72,-1.16,1723959587
1723959586,2.8,85.05,115,211.74,73.69,95,976.89,4.84,1.37,1723959587
1723959586,19.29,92.01,36,353.29,76.66,96,999.35,9.75,17.95,1723959587
1723959586,10.63,66.8,110,117.75,32.65,97,978.56,-4.54,2.92,1723959587
1723959586,18.63,78.74,100,56.54,93.42,108,960.76,2.59,18.27,1723959587
1723959586,9.51,10.09,43,74.59,32.15,91,1006.18,9.36,5.74,1723959587
1723959586,3.85,55.07,0,352.71,40.18,74,1013.63,-7.67,-12.13,1723959587
1723959586,8.59,1.76,24,483.7,20.75,80,967.49,3.56,-11.27,1723959587
1723959586,13.93,76.58,58,337.45,96.78,85,974.85,-1.85,1.69,1723959587
1723959586,7.02,93.83,100,76.22,6.28,83,1037.6,-0.47,2.14,1723959587
1723959586,10.24,25.22,120,254.57,68.85,91,973.54,-6.87,-15.61,1723959587
1723959586,3.66,61.83,43,156.69,27.09,103,964.16,6.73,-15.44,1723959587
1723959586,19.48,39.78,44,191.45,72.25,80,997.31,-0.04,15.39,1723959587
1723959586,3.2,16.47,94,98.7,75.92,101,955.7,2.07,-5.57,1723959587
1723959586,5.43,75.68,45,436.66,8.48,79,1027.1,-8.38,-15.11,1723959587
1723959586,8.25,5.12,79,164.35,29.76,94,998.77,0.48,12.17,1723959587
1723959586,4.09,1.23,46,313.75,69.72,105,1040.55,0.18,-4.11,1723959587
1723959586,9.79,19.62,59,44.51,99.32,75,1010.54,-1.62,12.64,1723959587
1723959586,9.38,91.21,112,267.24,85.22,97,1039.82,-1.96,-18.3,1723959587
1723959586,0.04,44.99,6,293.33,35.88,81,1045.36,-8.62,-18.78,1723959587
1723959586,12.8,57.31,108,442.5,67.85,72,1046.39,2.07,10.86,1723959587
1723959586,10.65,28.44,18,73.02,52.88,76,1045.19,-6.65,19.89,1723959587
1723959586,0.42,51.59,83,22.32,72.38,97,1002.66,1.23,-7.6,1723959587
