,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
1,1717227719,0.0 kilometer_per_hour,90 degree_Celsius,39.6078431372549 percent,18.03921568627451 percent,1717227719
2,1717227720,0.0 kilometer_per_hour,90 degree_Celsius,48.627450980392155 percent,18.823529411764707 percent,1717227720
3,1717227720,0.0 kilometer_per_hour,90 degree_Celsius,40.78431372549019 percent,18.431372549019606 percent,1717227720
4,1717227720,1.0 kilometer_per_hour,91 degree_Celsius,39.21568627450981 percent,18.431372549019606 percent,1717227721
5,1717227721,1.0 kilometer_per_hour,91 degree_Celsius,38.8235294117647 percent,18.431372549019606 percent,1717227721
6,1717227721,0.0 kilometer_per_hour,91 degree_Celsius,36.86274509803921 percent,18.03921568627451 percent,1717227721
7,1717227722,0.0 kilometer_per_hour,91 degree_Celsius,35.294117647058826 percent,18.03921568627451 percent,1717227722
8,1717227722,0.0 kilometer_per_hour,91 degree_Celsius,34.509803921568626 percent,18.03921568627451 percent,1717227722
9,1717227722,0.0 kilometer_per_hour,91 degree_Celsius,34.90196078431372 percent,18.03921568627451 percent,1717227723
10,1717227723,0.0 kilometer_per_hour,91 degree_Celsius,34.509803921568626 percent,17.647058823529413 percent,1717227723
11,1717227723,0.0 kilometer_per_hour,91 degree_Celsius,41.1764705882353 percent,18.03921568627451 percent,1717227723
12,1717227724,1.0 kilometer_per_hour,91 degree_Celsius,58.03921568627451 percent,20.0 percent,1717227724
13,1717227724,2.0 kilometer_per_hour,91 degree_Celsius,49.01960784313726 percent,19.607843137254903 percent,1717227724
14,1717227725,4.0 kilometer_per_hour,91 degree_Celsius,45.09803921568628 percent,19.607843137254903 percent,1717227725
15,1717227725,5.0 kilometer_per_hour,91 degree_Celsius,66.66666666666667 percent,23.529411764705884 percent,1717227725
16,1717227725,7.0 kilometer_per_hour,91 degree_Celsius,69.80392156862744 percent,25.098039215686274 percent,1717227725
17,1717227726,10.0 kilometer_per_hour,91 degree_Celsius,85.88235294117646 percent,30.58823529411765 percent,1717227726
18,1717227726,12.0 kilometer_per_hour,91 degree_Celsius,86.66666666666667 percent,33.72549019607843 percent,1717227726
19,1717227727,15.0 kilometer_per_hour,91 degree_Celsius,46.27450980392157 percent,21.568627450980394 percent,1717227727
20,1717227727,16.0 kilometer_per_hour,91 degree_Celsius,25.49019607843137 percent,18.431372549019606 percent,1717227727
21,1717227727,16.0 kilometer_per_hour,91 degree_Celsius,25.49019607843137 percent,18.431372549019606 percent,1717227728
22,1717227728,16.0 kilometer_per_hour,90 degree_Celsius,28.235294117647058 percent,18.431372549019606 percent,1717227728
23,1717227728,16.0 kilometer_per_hour,90 degree_Celsius,27.84313725490196 percent,17.647058823529413 percent,1717227728
24,1717227729,16.0 kilometer_per_hour,90 degree_Celsius,41.1764705882353 percent,21.176470588235293 percent,1717227729
25,1717227729,16.0 kilometer_per_hour,90 degree_Celsius,50.98039215686274 percent,21.568627450980394 percent,1717227729
26,1717227729,17.0 kilometer_per_hour,90 degree_Celsius,51.76470588235294 percent,21.568627450980394 percent,1717227730
27,1717227730,18.0 kilometer_per_hour,90 degree_Celsius,44.31372549019608 percent,20.392156862745097 percent,1717227730
28,1717227730,18.0 kilometer_per_hour,90 degree_Celsius,28.235294117647058 percent,18.431372549019606 percent,1717227730
29,1717227731,18.0 kilometer_per_hour,90 degree_Celsius,67.45098039215686 percent,25.098039215686274 percent,1717227731
30,1717227731,20.0 kilometer_per_hour,90 degree_Celsius,86.27450980392157 percent,29.019607843137255 percent,1717227731
31,1717227732,22.0 kilometer_per_hour,90 degree_Celsius,90.58823529411765 percent,32.15686274509804 percent,1717227732
32,1717227732,24.0 kilometer_per_hour,90 degree_Celsius,85.88235294117646 percent,32.15686274509804 percent,1717227732
33,1717227732,26.0 kilometer_per_hour,90 degree_Celsius,43.13725490196079 percent,18.823529411764707 percent,1717227732
34,1717227733,26.0 kilometer_per_hour,90 degree_Celsius,25.88235294117647 percent,18.431372549019606 percent,1717227733
35,1717227733,26.0 kilometer_per_hour,90 degree_Celsius,27.058823529411764 percent,18.431372549019606 percent,1717227733
