,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
0,1717223948.1617863,60.0 kilometer_per_hour,92 degree_Celsius,93.72549019607843 percent,37.64705882352941 percent,1717223948.2821476
1,1717223948.5698595,62.0 kilometer_per_hour,92 degree_Celsius,99.6078431372549 percent,72.94117647058823 percent,1717223948.6898513
2,1717223948.977945,63.0 kilometer_per_hour,92 degree_Celsius,99.6078431372549 percent,77.6470588235294 percent,1717223949.0978801
3,1717223949.3919573,64.0 kilometer_per_hour,92 degree_Celsius,99.6078431372549 percent,80.7843137254902 percent,1717223949.511973
4,1717223949.8004303,65.0 kilometer_per_hour,92 degree_Celsius,99.6078431372549 percent,83.52941176470588 percent,1717223949.9201207
5,1717223950.2080865,66.0 kilometer_per_hour,92 degree_Celsius,99.6078431372549 percent,84.70588235294117 percent,1717223950.330335
6,1717223950.622131,68.0 kilometer_per_hour,92 degree_Celsius,99.6078431372549 percent,85.88235294117646 percent,1717223950.7421885
7,1717223951.0301816,69.0 kilometer_per_hour,92 degree_Celsius,99.6078431372549 percent,85.09803921568627 percent,1717223951.1502125
8,1717223951.4382417,70.0 kilometer_per_hour,92 degree_Celsius,99.6078431372549 percent,83.13725490196079 percent,1717223951.5582542
9,1717223951.8522775,71.0 kilometer_per_hour,92 degree_Celsius,98.82352941176471 percent,78.03921568627452 percent,1717223951.9723103
10,1717223952.2603083,73.0 kilometer_per_hour,92 degree_Celsius,94.11764705882354 percent,40.0 percent,1717223952.3803558
11,1717223952.6683717,73.0 kilometer_per_hour,92 degree_Celsius,22.745098039215687 percent,18.823529411764707 percent,1717223952.788352
12,1717223953.0883987,73.0 kilometer_per_hour,92 degree_Celsius,18.823529411764707 percent,19.215686274509803 percent,1717223953.208463
13,1717223953.502486,72.0 kilometer_per_hour,92 degree_Celsius,18.823529411764707 percent,18.823529411764707 percent,1717223953.6225593
14,1717223953.9105322,72.0 kilometer_per_hour,92 degree_Celsius,23.92156862745098 percent,18.03921568627451 percent,1717223954.030566
15,1717223954.3185608,71.0 kilometer_per_hour,92 degree_Celsius,28.235294117647058 percent,18.03921568627451 percent,1717223954.438595
16,1717223954.732638,70.0 kilometer_per_hour,92 degree_Celsius,28.235294117647058 percent,19.607843137254903 percent,1717223954.8527658
17,1717223955.1406648,70.0 kilometer_per_hour,92 degree_Celsius,53.333333333333336 percent,24.705882352941178 percent,1717223955.2607102
18,1717223955.5487409,71.0 kilometer_per_hour,92 degree_Celsius,80.7843137254902 percent,30.58823529411765 percent,1717223955.6687746
19,1717223955.962785,72.0 kilometer_per_hour,92 degree_Celsius,89.01960784313725 percent,34.509803921568626 percent,1717223956.0828083
20,1717223956.370831,72.0 kilometer_per_hour,92 degree_Celsius,92.94117647058823 percent,38.03921568627451 percent,1717223956.4908419
21,1717223956.7789662,73.0 kilometer_per_hour,92 degree_Celsius,97.25490196078431 percent,72.15686274509804 percent,1717223956.9078434
22,1717223957.198943,75.0 kilometer_per_hour,92 degree_Celsius,98.03921568627452 percent,77.6470588235294 percent,1717223957.3192132
23,1717223957.6131172,75.0 kilometer_per_hour,92 degree_Celsius,98.03921568627452 percent,80.7843137254902 percent,1717223957.7332919
24,1717223958.0211573,76.0 kilometer_per_hour,92 degree_Celsius,98.43137254901961 percent,83.92156862745098 percent,1717223958.1414006
